,engine_pcd,gas_fuel_flow_x,ngp,npt,t1_temperature,t5_average_temperature,turb_air_inlet_filter_dp
2018-09-20 06:43:04+00:00,187.92,0.33262999617708544,93.48,90.33,26.850000000000023,675.34,62
2018-09-20 06:43:34+00:00,187.94,0.33246119983346273,93.5,90.2,26.850000000000023,675.38,62
2018-09-20 06:44:04+00:00,187.96,0.33345073192082836,93.52,90.32,26.850000000000023,675.54,62
2018-09-20 06:44:34+00:00,188.02,0.3312737362153589,93.56,90.41,26.850000000000023,675.56,62
2018-09-20 06:45:04+00:00,188.02,0.3327970789430225,93.56,90.35,26.850000000000023,675.57,62
2018-09-20 06:45:34+00:00,188.0,0.3334999701313474,93.56,90.2,26.850000000000023,675.66,62
2018-09-20 06:46:04+00:00,188.06,0.3325962822067035,93.6,90.4,26.850000000000023,675.65,62
2018-09-20 06:46:34+00:00,188.06,0.3334755013787327,93.62,90.36,26.850000000000023,675.82,62
2018-09-20 06:47:04+00:00,188.2,0.33374279866252377,93.7,90.65,26.850000000000023,675.88,62
2018-09-20 06:47:34+00:00,188.02,0.3330605055619016,93.62,90.29,26.850000000000023,675.85,62
2018-09-20 06:48:04+00:00,188.16,0.33254893812751485,93.7,90.4,26.850000000000023,675.87,62
2018-09-20 06:48:34+00:00,188.14,0.3337274510244271,93.68,90.3,26.850000000000023,676.06,62
2018-09-20 06:49:04+00:00,188.22,0.3343631147631394,93.74,90.41,26.850000000000023,676.22,62
2018-09-20 06:49:34+00:00,188.24,0.3332529381238106,93.76,90.38,26.850000000000023,676.04,62
2018-09-20 06:50:04+00:00,188.2,0.33290560235812683,93.74,90.45,26.850000000000023,676.22,62
2018-09-20 06:50:34+00:00,188.18,0.3323441845111779,93.74,90.28,26.850000000000023,676.22,62
2018-09-20 06:51:04+00:00,188.24,0.3331112757816237,93.78,90.44,26.850000000000023,676.31,62
2018-09-20 06:51:34+00:00,188.3,0.33363814427207733,93.82,90.45,26.850000000000023,676.4,62
2018-09-20 06:52:04+00:00,188.38,0.33395506374278994,93.86,90.45,26.850000000000023,676.48,62
2018-09-20 06:52:34+00:00,188.3,0.33464688801072423,93.84,90.43,26.850000000000023,676.55,62
2018-09-20 06:53:04+00:00,188.28,0.33410407204360937,93.84,90.23,26.850000000000023,676.61,62
2018-09-20 06:53:34+00:00,188.32,0.3357323384317637,93.86,90.36,26.850000000000023,676.8,62
2018-09-20 06:54:04+00:00,188.38,0.334178390031601,93.9,90.3,26.850000000000023,676.72,62
2018-09-20 06:54:34+00:00,188.36,0.33447383753482723,93.9,90.27,26.850000000000023,676.8,62
2018-09-20 06:55:04+00:00,188.42,0.3349327419556892,93.94,90.32,26.850000000000023,676.93,62
2018-09-20 06:55:34+00:00,188.36,0.33310832709789523,93.92,90.29,26.850000000000023,676.77,62
2018-09-20 06:56:04+00:00,188.44,0.33533031318857714,93.96,90.53,26.850000000000023,677.0,62
2018-09-20 06:56:34+00:00,188.48,0.33584080658957993,94.0,90.31,26.850000000000023,677.1,62
2018-09-20 06:57:04+00:00,188.48,0.3351242606632531,94.0,90.45,26.850000000000023,677.11,62
2018-09-20 06:57:34+00:00,188.44,0.33511186234767815,94.0,90.36,26.850000000000023,677.2,62
2018-09-20 06:58:04+00:00,188.48,0.3342816379957262,94.02,90.41,26.850000000000023,677.18,62
2018-09-20 06:58:34+00:00,188.64,0.3350377522927084,94.1,90.42,26.850000000000023,677.33,62
2018-09-20 06:59:04+00:00,188.46,0.33427284148980946,94.02,90.35,26.850000000000023,677.33,62
2018-09-20 06:59:34+00:00,188.56,0.33499616522202996,94.08,90.18,26.850000000000023,677.42,62
2018-09-20 07:00:04+00:00,188.64,0.3348954390604556,94.14,90.17,26.850000000000023,677.45,62
2018-09-20 07:00:34+00:00,188.68,0.33620385307791856,94.16,90.46,26.850000000000023,677.62,62
2018-09-20 07:01:04+00:00,188.64,0.3349000825206771,94.16,90.32,26.850000000000023,677.59,62
2018-09-20 07:01:34+00:00,188.64,0.33489803528356105,94.16,90.4,26.850000000000023,677.68,62
2018-09-20 07:02:04+00:00,188.58,0.3345591870347913,94.14,90.32,26.850000000000023,677.81,62
2018-09-20 07:02:34+00:00,188.86,0.33506335303459023,94.28,90.41,26.850000000000023,677.76,62
2018-09-20 07:03:04+00:00,188.72,0.3351375780167449,94.22,90.51,26.850000000000023,677.86,62
2018-09-20 07:03:34+00:00,188.8,0.33634588863687676,94.28,90.33,26.850000000000023,677.99,62
